Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2010,Jan,66.3,60.8,12108919,11106882,1002037,8.3
2010,Feb,66.4,60.9,12151988,11146453,1005535,8.3
2010,Mar,66.5,61.0,12191275,11184615,1006660,8.3
2010,Apr,65.9,60.5,12222661,11218075,1004586,8.2
2010,May,65.9,60.6,12244873,11246029,998844,8.2
2010,Jun,65.9,60.6,12259778,11267141,992637,8.1
2010,Jul,65.9,60.6,12272590,11282344,990246,8.1
2010,Aug,65.9,60.6,12287949,11294712,993237,8.1
2010,Sep,65.9,60.5,12306687,11306167,1000520,8.1
2010,Oct,65.9,60.5,12329159,11320132,1009027,8.2
2010,Nov,65.9,60.5,12352386,11337423,1014963,8.2
2010,Dec,65.9,60.5,12372836,11356570,1016266,8.2
2011,Jan,65.9,60.5,12391831,11377422,1014409,8.2
2011,Feb,65.9,60.5,12409993,11398153,1011840,8.2
2011,Mar,65.9,60.5,12426745,11416366,1010379,8.1
2011,Apr,65.9,60.5,12444275,11431447,1012828,8.1
2011,May,65.9,60.5,12467134,11445785,1021349,8.2
2011,Jun,66.0,60.5,12497108,11463413,1033695,8.3
2011,Jul,66.0,60.5,12534220,11487969,1046251,8.3
2011,Aug,66.0,60.6,12546014,11519770,1026244,8.2
2011,Sep,66.0,60.7,12559256,11556548,1002708,8.0
2011,Oct,65.9,60.8,12570673,11594803,975870,7.8
2011,Nov,65.8,60.9,12576962,11630243,946719,7.5
2011,Dec,65.7,60.9,12576704,11659891,916813,7.3
2012,Jan,65.6,61.0,12571937,11683759,888178,7.1
2012,Feb,65.5,61.0,12581835,11704383,877452,7.0
2012,Mar,65.4,61.0,12563758,11722322,841436,6.7
2012,Apr,65.4,61.0,12588954,11737849,851105,6.8
2012,May,65.4,61.0,12611625,11754758,856867,6.8
2012,Jun,65.4,61.0,12632078,11776105,855973,6.8
2012,Jul,65.4,61.0,12649825,11802014,847811,6.7
2012,Aug,65.4,61.1,12666216,11830108,836108,6.6
2012,Sep,65.4,61.1,12683588,11857386,826202,6.5
2012,Oct,65.4,61.1,12700534,11879763,820771,6.5
2012,Nov,65.3,61.1,12716045,11895325,820720,6.5
2012,Dec,65.3,61.1,12730458,11905455,825003,6.5
2013,Jan,65.3,61.0,12743658,11912520,831138,6.5
2013,Feb,65.3,61.0,12757010,11921233,835777,6.6
2013,Mar,65.2,61.0,12772688,11936855,835833,6.5
2013,Apr,65.3,61.0,12793456,11962083,831373,6.5
2013,May,65.3,61.1,12816378,11991479,824899,6.4
2013,Jun,65.3,61.1,12837490,12018765,818725,6.4
2013,Jul,65.3,61.1,12855277,12041788,813489,6.3
2013,Aug,65.2,61.1,12867238,12061310,805928,6.3
2013,Sep,65.1,61.1,12873858,12079341,794517,6.2
2013,Oct,65.1,61.1,12880739,12099121,781618,6.1
2013,Nov,65.0,61.1,12892128,12124031,768097,6.0
2013,Dec,65.0,61.2,12907972,12154284,753688,5.8
2014,Jan,65.0,61.2,12926206,12188294,737912,5.7
2014,Feb,64.9,61.3,12944743,12223189,721554,5.6
2014,Mar,64.9,61.4,12962485,12254958,707527,5.5
2014,Apr,64.9,61.4,12977478,12280595,696883,5.4
2014,May,64.9,61.4,12990622,12302615,688007,5.3
2014,Jun,64.8,61.4,13005331,12325395,679936,5.2
2014,Jul,64.8,61.4,13020533,12348864,671669,5.2
2014,Aug,64.7,61.5,13036080,12373428,662652,5.1
2014,Sep,64.7,61.5,13050337,12398563,651774,5.0
2014,Oct,64.6,61.5,13058380,12420918,637462,4.9
2014,Nov,64.5,61.4,13057664,12436708,620956,4.8
2014,Dec,64.3,61.4,13051833,12446054,605779,4.6
2015,Jan,64.2,61.3,13045727,12451402,594325,4.6
2015,Feb,64.1,61.2,13042678,12455072,587606,4.5
2015,Mar,64.0,61.1,13044962,12461125,583837,4.5
2015,Apr,63.9,61.1,13052347,12471167,581180,4.5
2015,May,63.9,61.0,13062363,12483045,579318,4.4
2015,Jun,63.8,61.0,13072586,12493882,578704,4.4
2015,Jul,63.7,60.9,13083798,12503348,580450,4.4
2015,Aug,63.7,60.8,13096567,12512227,584340,4.5
2015,Sep,63.7,60.8,13111812,12523886,587926,4.5
2015,Oct,63.7,60.8,13133423,12543363,590060,4.5
2015,Nov,63.7,60.8,13162283,12571333,590950,4.5
2015,Dec,63.8,60.9,13194306,12603859,590447,4.5
2016,Jan,63.8,61.0,13224910,12635778,589132,4.5
2016,Feb,63.8,61.0,13252003,12662766,589237,4.4
2016,Mar,63.8,61.0,13275533,12683175,592358,4.5
2016,Apr,63.9,61.0,13297832,12698126,599706,4.5
2016,May,63.9,60.9,13321031,12710616,610415,4.6
2016,Jun,63.9,60.9,13344101,12722956,621145,4.7
2016,Jul,63.9,60.9,13365941,12736496,629445,4.7
2016,Aug,63.9,60.9,13386060,12750754,635306,4.7
2016,Sep,63.9,60.8,13403980,12763563,640417,4.8
2016,Oct,63.8,60.8,13419163,12774408,644755,4.8
2016,Nov,63.8,60.8,13434311,12787312,646999,4.8
2016,Dec,63.8,60.8,13452830,12805992,646838,4.8
2017,Jan,63.8(R),60.7(R),13383543(R),12743129(R),640414(R),4.8(R)
2017,Feb,63.8(R),60.8(R),13407092(R),12773175(R),633917(R),4.7(R)
2017,Mar,63.8(R),60.9(R),13429146(R),12805899(R),623247(R),4.6(R)
2017,Apr,63.8(R),60.9(R),13448306(R),12838380(R),609926(R),4.5(R)
2017,May,63.8(R),61.0(R),13464024(R),12868903(R),595121(R),4.4(R)
2017,Jun,63.8(R),61.1(R),13476361(R),12894947(R),581414(R),4.3(R)
2017,Jul,63.8(R),61.1(R),13486545(R),12915730(R),570815(R),4.2(R)
2017,Aug,63.7(R),61.1(R),13495091(R),12931972(R),563119(R),4.2(R)
2017,Sep,63.7(R),61.1(R),13503616(R),12945812(R),557804(R),4.1(R)
2017,Oct,63.7(R),61.0(R),13513945(R),12959897(R),554048(R),4.1(R)
2017,Nov,63.6(R),61.0(R),13527004(R),12974970(R),552034(R),4.1(R)
2017,Dec,63.7(R),61.1(R),13545086(R),12994087(R),550999(R),4.1(R)
2018,Jan,63.7(R),61.1(R),13570502(R),13019810(R),550692(R),4.1(R)
2018,Feb,63.8(R),61.2(R),13603866(R),13053266(R),550600(R),4.0(R)
2018,Mar,63.9(R),61.3(R),13640180(R),13091083(R),549097(R),4.0(R)
2018,Apr,64.0(R),61.4(R),13670383(R),13125424(R),544959(R),4.0(R)
2018,May,64.0(R),61.5(R),13689632(R),13150005(R),539627(R),3.9(R)
2018,Jun,63.9(R),61.5(R),13698819(R),13164873(R),533946(R),3.9(R)
2018,Jul,63.9(R),61.4(R),13700824(R),13172521(R),528303(R),3.9(R)
2018,Aug,63.8(R),61.4(R),13702378(R),13177515(R),524863(R),3.8(R)
2018,Sep,63.7(R),61.3(R),13708279(R),13183494(R),524785(R),3.8(R)
2018,Oct,63.7(R),61.2(R),13719955(R),13193517(R),526438(R),3.8(R)
2018,Nov,63.7(R),61.2(R),13735166(R),13208364(R),526802(R),3.8(R)
2018,Dec,63.7(R),61.2(R),13750400(R),13227231(R),523169(R),3.8(R)
2019,Jan,63.7(R),61.3(R),13763201(R),13248657(R),514544(R),3.7(R)
